"SFB-0205","NO BRAND","BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0206","SORRIDERE","LIGHT BLUE","L","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0207","FADED GLORY","DARK BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0208","PLANET BLUE","BLUE","L","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0209","ROPE PICNIC","LIGHT BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0210","DAILY TOPIC","LIGHT BLUE","L","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0211","SMALL REGULER","LIGHT BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0212","SUN LUCAS","DARK BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0213","MC GREGOR","DARK BLUE","L","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0214","AGATE LABEL","DARK BLUE","S","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0215","LAGKAW","DARK BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0216","POPPINS","BLUE","M","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0217","COLZA","BLUE","S","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0218","RETRO GIRL","BLUE","XL","Rp70,000","DENIM","SHIRT FEMALE","B"
"SFB-0219","MARIENE JOBERT","BLACK","L","Rp70,000","BLACK","SHIRT FEMALE","B"
"SFB-0220","CASARIN CRANE","BLACK","M","Rp70,000","BLACK","SHIRT FEMALE","B"
"SFB-0221","HOT CAKE","BLACK","L","Rp70,000","BLACK","SHIRT FEMALE","B"
"SFB-0222","OTTO COLLECTION","BLACK","M","Rp70,000","BLACK","SHIRT FEMALE","B"
"SFB-0223","SPB","BLACK","M","Rp70,000","BLACK","SHIRT FEMALE","B"
"SFB-0224","NO BRAND","BLACK","L","Rp70,000","BLACK","SHIRT FEMALE","B"
"SFB-0225","SAUSALITO","BLACK","M","Rp70,000","BLACK","SHIRT FEMALE","B"
"SFB-0226","YOU FAMILY","BLACK","L","Rp70,000","BLACK","SHIRT FEMALE","B"
"SFB-0227","MENLOVE","BLACK","L","Rp70,000","BLACK","SHIRT FEMALE","B"
"SFB-0228","BEANEE+TUNING","BLACK","M","Rp70,000","BLACK","SHIRT FEMALE","B"
"SFB-0229","KUMIKYOKU","WHITE","L","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0230","DES VAGUES","WHITE","L","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0231","L.A","WHITE","M","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0232","BIWALL","WHITE","L","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0233","BARNYARDSTORM","WHITE","M","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0234","DLS","WHITE","M","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0235","ANCHOR WOMAN","WHITE","M","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0236","BUSINESS EXPERT","WHITE","XL","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0237","BIPLAN ","WHITE","M","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0238","F.W.K","WHITE","L","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0239","THEORIA","WHITE","M","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0240","PERSON'S","WHITE","M","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0241","NO BRAND","WHITE","XL","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0242","NO BRAND","WHITE","S","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0243","9 YR","WHITE","S","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0244","GLEEFUL","WHITE","M","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0245","CLOSSHI","WHITE","L","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0246","ANN TAYLOR","WHITE","L","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0247","HYPEN WORLD GALLERY","WHITE","M","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0248","NUEVE","WHITE","L","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0249","RALPH EVANS","WHITE","L","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0250","OFU","WHITE","S","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0251","FREUDE","WHITE","L","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0252","NO BRAND","WHITE","M","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0253","NEW YORKER","WHITE","S","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0254","PASHPOINT","WHITE","XL","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0255","LITTLE BOUTIQUE","WHITE","M","Rp70,000","WHITE","SHIRT FEMALE","B"
"SFB-0256","UPTIGHT","BLUE, WHITE","M","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0257","SHIRTS COLLECTION","LIGHT BLUE","L","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0258","APSRA","WHITE GREEN","M","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0259","MIDOPA","CREAM","L","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0260","CANTONESE","GREY","M","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0261","NO BRAND","LIGHT BLUE","L","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0262","CLOSSHI","BLUE","L","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0263","ANNIE LAURIE","CREAM","L","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0264","DOGGY","BLUE","L","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0265","NO BRAND","BLUE","L","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0266","JANE EYRE","DARK BLUE","M","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0267","CLOSSHI","WHITE, GREY","LL","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0268","ISIN","WHITE GREY","5L","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0269","URAMOCO","BLUE","LL","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0270","SIRMIONE","WHITE","L","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0271","SOUTHERN LADY","PINK","L","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0272","COMME CA DU MODE","WHITE GREY","L","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0273","J CREW","BLACK WHITE","XS","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0274","INDIVI","WHITE","L","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0275","GEMBONY","BLUE","LL","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0276","NO BRAND","BLUE","M","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0277","YUCARA","BLUE","M","Rp70,000","STRIP","SHIRT FEMALE","B"
"SFB-0278","BRICK HOUSE","WHITE","S","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0279","MADAM ANDY","WHITE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0280","ALLOWED TO UNFOLD","WHITE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0281","RALPH LAUREN","PURPLE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0282","KIM ROGERS","BLUE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0283","NO BRAND","PINK","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0284","STUDIO CLIP","WHITE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0285","BASIC TONE","NAVY","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0286","FLATTA","CREAM","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0287","LADIES ASHIC","WHITE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0288","NO BRAND","WHITE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0289","REGATTA","TOSCA","S","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0290","NO BRAND","COLORFUL","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0291","RED GRAPE","WHITE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0292","G COLLECTION","BLUE","L","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0293","CREPERIE","WHITE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0294","BRICK HOUSE","GREEN","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0295","TRANS WORK","PINK","L","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0296","JAPANESE","WHITE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0297","ELLCORE","BLACK","L","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0298","CARO CARA","ORANGE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0299","BACK NUMBER","GREY","S","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0300","GU","WHITE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0301","GEMBONY","NAVY","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0302","NO BRAND","GREEN","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0303","NUEVO.VA","CREAM","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0304","NO BRAND","WHITE","L","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0305","VIA MODE","COLORFUL","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0306","TABLOT","RED","L","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0307","90ANS","WHITE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0308","VISBY","BLUE, WHITE","M","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0309","SLOWLIFE","WHITE","L","Rp70,000","MOTIF","SHIRT FEMALE","B"
"SFB-0310","NO BRAND ","WHITE","L","Rp70,000","MOTIF","SHIRT FEMALE","B"
"DKB-0001","ceald","motif","M","Rp50,000","","DRESS KATUN","B"
"DKB-0003","native wit","grey","M","Rp50,000","","DRESS KATUN","B"
"DKB-0004","no brand 3","grey stripe","M","Rp50,000","","DRESS KATUN","B"
"DKB-0005","francaise","stripe purple","M","Rp50,000","","DRESS KATUN","B"
"DKB-0006","samansa mos2","navy","M","Rp50,000","","DRESS KATUN","B"
"DKB-0007","simplicite","white","M","Rp50,000","","DRESS KATUN","B"
"DKB-0008","atsuro tayana ","black","M","Rp50,000","","DRESS KATUN","B"
"DKB-0009","No brand 4","stripe","M","Rp50,000","","DRESS KATUN","B"
"DKB-0010","N, ","grey","M","Rp50,000","","DRESS KATUN","B"
"DKB-0011","monteu","stripe navy ","M","Rp50,000","","DRESS KATUN","B"
"DKB-0012","UNIQLO","GREY","M","Rp50,000","","DRESS KATUN","B"
"DKB-0013","No brand 5","yellow","M","Rp50,000","","DRESS KATUN","B"
"DKB-0015","la foret","stripe black grey","M","Rp50,000","","DRESS KATUN","B"
"DKB-0016","fait mains","motif","M","Rp50,000","","DRESS KATUN","B"
"DKB-0017","MALAIKA","Motif","M","Rp50,000","","DRESS KATUN","B"
"DKB-0018","native wit","motif","M","Rp50,000","","DRESS KATUN","B"
"DKB-0019","No brand 7","navy","M","Rp50,000","","DRESS KATUN","B"
"DKB-0020","Coen","stripe maroon","M","Rp50,000","","DRESS KATUN","B"
"DKB-0021","BARBARELLA","Motif","M","Rp50,000","","DRESS KATUN","B"
"DKB-0022","no brand 8","navy","M","Rp50,000","","DRESS KATUN","B"
"DKB-0023","sorridere","blue light","M","Rp50,000","","DRESS KATUN","B"
"DKB-0024","world champion","black","M","Rp50,000","","DRESS KATUN","B"
"DKB-0025","carnaby","motif","M","Rp50,000","","DRESS KATUN","B"
"DKB-0026","bateaumouche","motif","S","Rp50,000","","DRESS KATUN","B"
"DKB-0027","Maple sugar","motif","S","Rp50,000","","DRESS KATUN","B"
"DKB-0028","Arabis","stripe","S","Rp50,000","","DRESS KATUN","B"
"DKB-0029","Francaise","brown stripe","S","Rp50,000","","DRESS KATUN","B"
"DKB-0032","NO BRAND 9","MOTIF","M","Rp50,000","","DRESS KATUN","B"
"DKB-0037","A.V.V STANDARD","GREY","M","Rp50,000","","DRESS KATUN","B"
"DKB-0046","NO BRAND 11","GREY","L","Rp50,000","","DRESS KATUN","B"
